State Name,Score
Alabama,1.2011983707428735
Alaska,-0.07825066413025947
Arizona,1.0133058147954532
Arkansas,1.317539035251952
California,0.19589109083890294
Colorado,0.5194400369505067
Connecticut,0.20346716212754926
Delaware,0.9730526343448604
District of Columbia,0.2851205681384062
Florida,0.7890510892195335
Georgia,0.8309306505991764
Hawaii,0.26729119917708904
Idaho,0.777224410671703
Illinois,-0.08893473113822432
Indiana,1.020844955343322
Iowa,0.22517646866019986
Kansas,0.2819652188550937
Kentucky,0.7801204885359718
Louisiana,0.9741060330006889
Maine,1.0863643304736885
Maryland,0.041246519905323076
Massachusetts,0.08797188117456678
Michigan,0.4083664064985716
Minnesota,0.2064664759155789
Mississippi,1.8002786643971913
Missouri,0.5207931778254312
Montana,1.1574568923912096
Nebraska,0.3160614391252434
Nevada,1.0766928064007462
New Hampshire,0.2622572661618081
New Jersey,0.09298560412391219
New Mexico,1.6176496841616455
New York,0.0875589873597086
North Carolina,0.9882471158956088
North Dakota,0.6714297435347882
Ohio,0.30781083464824643
Oklahoma,0.8663416459945255
Oregon,0.6800017758132236
Pennsylvania,0.2959566244111841
Rhode Island,0.6845677822322831
South Carolina,1.1814914207391236
South Dakota,0.8923695285225539
Tennessee,0.8959239051715506
Texas,0.6458668329882471
Utah,0.14125061607646017
Vermont,0.4936999980929196
Virginia,0.2137688834239981
Washington,0.3942290467908137
West Virginia,1.2126545035100316
Wisconsin,0.35285566265830376
Wyoming,0.5853038580930229
